NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Phases,Study Type
NCT05389644,TMS as a Treatment for Apathy in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05389644,TERMINATED,Alzheimer Disease|Apathy in Dementia,DEVICE: Intermittent Theta Burst Stimulation (iTBS),Massachusetts General Hospital,,,INTERVENTIONAL
NCT00470418,Development of NIC5-15 in the Treatment of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT00470418,COMPLETED,Alzheimer Disease|Dementia,DRUG: NIC5-15|DRUG: Placebo,VA Office of Research and Development,National Center for Complementary and Integrative Health (NCCIH)|Humanetics Corporation,PHASE2,INTERVENTIONAL
NCT06989242,"Yoga-based, Noninvasive Glymphatic Clearance Augmentation in Alzheimer's Disease.",https://clinicaltrials.gov/study/NCT06989242,NOT_YET_RECRUITING,Alzheimer Disease|Mild Cognitive Impairment (MCI),DEVICE: Yoga-Based Therapeutic Device (incorporating guided breathing and movement),"CIATRIX, INC.",University of Oulu,,INTERVENTIONAL
NCT02740634,Molecular and Structural Imaging in Alzheimer's Disease: A Longitudinal Study,https://clinicaltrials.gov/study/NCT02740634,RECRUITING,"Atypical Alzheimer's Disease|Logopenic Progressive Aphasia (LPA)|Posterior Cortical Atrophy (PCA)|Alzheimer Disease|Alzheimer Disease, Early Onset|Amnestic Disorder|Amnestic Symptoms|Amnestic Mild Cognitive Disorder",DRUG: F-18 AV 1451|DRUG: C-11 PiB,Mayo Clinic,National Institute on Aging (NIA),,INTERVENTIONAL
NCT06169826,Histidine Oral Supplementation as a Therapeutic Modality for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06169826,WITHDRAWN,Alzheimer Disease,DRUG: l-Histidine|OTHER: Control,Wake Forest University Health Sciences,,PHASE4,INTERVENTIONAL
NCT06148233,CSF1R PET Probe [18F]CSF-23 in Alzheimer's Disease Brain Imaging,https://clinicaltrials.gov/study/NCT06148233,RECRUITING,Positron Emission Tomography|Alzheimer Disease|Neurodegenerative Diseases,RADIATION: [18F]CSF-23,Huashan Hospital,,,INTERVENTIONAL
NCT05516667,Cohort of Patients with Alzheimer's Disease and Their Families.,https://clinicaltrials.gov/study/NCT05516667,RECRUITING,Alzheimer Disease,,"University Hospital, Toulouse",France Alzheimer,,OBSERVATIONAL
NCT06362707,Fasudil Trial for Treatment of Early Alzheimer's Disease (FEAD),https://clinicaltrials.gov/study/NCT06362707,RECRUITING,"Cognitive Decline, Mild|Alzheimer Disease",DRUG: Fasudil|DRUG: Placebo,Helse Stavanger HF,"University of Exeter|Helse Fonna|St. Olavs Hospital|University Hospital, Akershus|Haraldsplass Deaconess Hospital",PHASE2,INTERVENTIONAL
NCT05183321,Treatment of Periodontal Disease in Patients With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05183321,NOT_YET_RECRUITING,Periodontitis|Alzheimer Disease|Dementia,PROCEDURE: periodontal therapy,"Wuhan Union Hospital, China",,,INTERVENTIONAL
NCT05911178,Impact of Microglial Activation on Synaptic Density in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05911178,RECRUITING,Alzheimer Disease,RADIATION: [11C]-UCB-J|RADIATION: [18F]-DPA-714|RADIATION: [18F]-RO-948|RADIATION: [11C]-PiB,Centre Hospitalier St Anne,Roche Pharma AG,,INTERVENTIONAL
NCT00658125,Deep Brain Stimulation (DBS) for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT00658125,COMPLETED,Alzheimer Disease,"PROCEDURE: Bilateral fornix DBS implantation,","University Health Network, Toronto",,,INTERVENTIONAL
NCT05806697,Investigation of AlzHeimer's Predictors in Subjective Memory Complainers - Extension Study,https://clinicaltrials.gov/study/NCT05806697,RECRUITING,Alzheimer Disease|Memory Complaint|Memory Disorders,PROCEDURE: Electroencephalogram (EEG)|PROCEDURE: Oculomotor tests|PROCEDURE: MRI|RADIATION: 18-F amyloid PET Scan|RADIATION: 18F-fluorodeoxyglucose (FDG) PET Scan|BIOLOGICAL: Blood sampling|BIOLOGICAL: Lumbar puncture,"Institut National de la Sant̩ Et de la Recherche M̩dicale, France",,,INTERVENTIONAL
NCT06168955,Study of N-homocysteinylation of Key Proteins in Alzheimer's Disease (HO-MA),https://clinicaltrials.gov/study/NCT06168955,NOT_YET_RECRUITING,Alzheimer Disease,OTHER: skin biopsy,"Central Hospital, Nancy, France",,,INTERVENTIONAL
NCT06750432,PMN310 in Patients With Early Alzheimer's Disease (PRECISE-AD),https://clinicaltrials.gov/study/NCT06750432,RECRUITING,"Alzheimer Disease, Early Onset",DRUG: PMN310|DRUG: Placebo,"ProMis Neurosciences, Inc",,PHASE1,INTERVENTIONAL
NCT06681948,The Ketogenic Diet in the Treatment of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06681948,RECRUITING,Alzheimer Disease,DIETARY_SUPPLEMENT: Ketogenic diet|DIETARY_SUPPLEMENT: placebo,Capital Medical University,West China Hospital|The First Affiliated Hospital of Zhengzhou University|Tianjin Huanhu Hospital|Shandong Provincial Hospital|Peking University Third Hospital|Shanghai Mental Health Center|Beijing Tiantan Hospital|Xiangya Hospital of Central South University|First Affiliated Hospital of Chongqing Medical University|Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University|The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School|Sichuan Provincial People's Hospital|Brain Hospital Affiliated to Guangzhou Medical University|Sir Run Run Shaw Hospital,,INTERVENTIONAL
NCT06023446,Can (Optical Coherence Tomography) Pictures of the Retina Detect Alzheimer's Disease at Its Earliest Stages?,https://clinicaltrials.gov/study/NCT06023446,ENROLLING_BY_INVITATION,Alzheimer Disease|Mild Cognitive Impairment,DIAGNOSTIC_TEST: Optical Coherence Tomography,"University of California, Davis",National Institute on Aging (NIA),,OBSERVATIONAL
NCT05364307,Identification of Patients With a High Probability of Meeting Eligibility Criteria for an Alzheimer's Disease Clinical Trial (APHELEIA),https://clinicaltrials.gov/study/NCT05364307,COMPLETED,Alzheimer Disease|Mild Cognitive Impairment|Memory Loss|Memory Disorders|Memory Impairment,OTHER: Prescreener database,Global Alzheimer's Platform Foundation,,,OBSERVATIONAL
NCT05877391,Intervention to Collect and Utilize Sexual Orientation and Gender Identity (SOGI) Information in Hospice,https://clinicaltrials.gov/study/NCT05877391,RECRUITING,Sexual and Gender Minorities|Hospice|Alzheimer's Disease and Related Dementias,BEHAVIORAL: SGM Communication Intervention,"University of Colorado, Denver",,,INTERVENTIONAL
NCT04309500,SHARE(D) Stage II: Alzheimer's Risk Disclosure Protocol Piloting,https://clinicaltrials.gov/study/NCT04309500,COMPLETED,Mild Cognitive Impairment|Healthy Aging,BEHAVIORAL: Personalized DAT Risk Disclosure Protocol,University of Michigan,National Institute on Aging (NIA),,INTERVENTIONAL
NCT04804618,Proteomics Study of Mild Cognitive Impairment and Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04804618,RECRUITING,"Alzheimer Disease, Early Onset|Protein; Disease",,Guangzhou University of Traditional Chinese Medicine,Guangzhou Cadre Health Management Center,,OBSERVATIONAL
NCT04786223,Targeting Neuroinflammation as a Contributing Pathology in Alzheimer's Disease Dementia,https://clinicaltrials.gov/study/NCT04786223,ENROLLING_BY_INVITATION,Alzheimer Disease,DRUG: C-11 ER-176|DIAGNOSTIC_TEST: Blood Test,Val Lowe,,PHASE2,INTERVENTIONAL
NCT01417130,Follow-up Study of the Alzheimer's Disease Anti-Inflammatory Prevention Trial,https://clinicaltrials.gov/study/NCT01417130,UNKNOWN,Alzheimer Disease|Dementia,,Seattle Institute for Biomedical and Clinical Research,VA Puget Sound Health Care System|National Institute on Aging (NIA)|Johns Hopkins University,,OBSERVATIONAL
NCT00946530,Light Treatment for Sleep/Wake Disturbances in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT00946530,COMPLETED,Sleep Initiation and Maintenance Disorders,DEVICE: Bright light|DEVICE: Control,Stanford University,Palo Alto Veterans Institute for Research,,INTERVENTIONAL
NCT03718156,The Prevention Program for Alzheimer's Related Delirium (PREPARED) Trial,https://clinicaltrials.gov/study/NCT03718156,SUSPENDED,Delirium|Dementia,OTHER: PREPARED Trial Intervention,McGill University,,,INTERVENTIONAL
NCT01450891,Health Technology Assessment of Diagnostic Approaches in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01450891,COMPLETED,Neurodegenerative Diseases|Memory Disturbances,,Maastricht University Medical Center,"Center for Translational Molecular Medicine|Leiden University Medical Center|Radboud University Medical Center|Amsterdam UMC, location VUmc",,OBSERVATIONAL
NCT05016219,Phase 2 - Rhythmic Light Therapy for Alzheimer's Disease Patients,https://clinicaltrials.gov/study/NCT05016219,RECRUITING,Mild Cognitive Impairment,DEVICE: Circadian-Effective Light|DEVICE: Rhythmic Light|DEVICE: Placebo Light|DEVICE: Placebo Rhythmic Light,Icahn School of Medicine at Mount Sinai,,,INTERVENTIONAL
NCT04510168,Accelerated Non-Atherosclerotic Brain Arterial Aging Relationship to Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04510168,COMPLETED,Alzheimer Disease|Dementia,DRUG: 11C-ER176|DRUG: [F-18]MK-6240|DRUG: Florbetaben|OTHER: Magnetic Resonance Imaging,"Jose Gutierrez, MD, MPH",,,OBSERVATIONAL
NCT04265378,Cognitive Training and Brain Stimulation in Prodromal Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04265378,COMPLETED,Subjective Cognitive Decline|Mild Cognitive Impairment,DEVICE: anodal tDCS|BEHAVIORAL: Intensive cognitive training,University Medicine Greifswald,,,INTERVENTIONAL
NCT05834296,Study in Subjects With Mild-to-Moderate Alzheimer's Dementia,https://clinicaltrials.gov/study/NCT05834296,ACTIVE_NOT_RECRUITING,Alzheimer Disease,BIOLOGICAL: ALZN002 (autologous DCs pulsed with E22W mutant peptide).|DRUG: Placebo,"Alzamend Neuro, Inc.","bioRASI, LLC",PHASE1|PHASE2,INTERVENTIONAL
NCT01322568,Research on Aging Project in Iceland: Second Stage,https://clinicaltrials.gov/study/NCT01322568,COMPLETED,Atherosclerosis|Osteoporosis|Obesity|Glucose Abnormalities|Alzheimer's Disease|Vascular Dimentia,,National Institute on Aging (NIA),,,OBSERVATIONAL
NCT00229333,"Study of Escitalopram Versus Placebo in the Treatment of Depressive Syndrome in Alzheimer's Disease, Vascular Dementia, and Mixed Vascular and Alzheimer's Dementia",https://clinicaltrials.gov/study/NCT00229333,UNKNOWN,Depressive Syndrome,DRUG: Escitalopram,Sheba Medical Center,H. Lundbeck A/S,PHASE4,INTERVENTIONAL
NCT00432081,Effect of Indomethacin on the Progression of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT00432081,COMPLETED,Alzheimer Disease,DRUG: indomethacin,Radboud University Medical Center,American Health Assistance Foundation|Netherlands Brain Foundation|Netherlands Alzheimer Foundation,PHASE3,INTERVENTIONAL
NCT01001637,Efficacy and Safety of Curcumin Formulation in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01001637,TERMINATED,Alzheimer Disease,DIETARY_SUPPLEMENT: Curcumin Formulation|DIETARY_SUPPLEMENT: Placebo,Jaslok Hospital and Research Centre,"Pharmanza Herbal Pvt Ltd|Verdure Sciences|University of California, Los Angeles",,INTERVENTIONAL
NCT04981587,Effects of Strength Exercise on Fall Risk in Elderly With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04981587,COMPLETED,Alzheimer Disease|Dementia; Alzheimer's Type (Etiology)|Fall Risk|Elderly|Resistance Training,PROCEDURE: Strength exercise|OTHER: Usual treatment,University of Ja̩n,,,INTERVENTIONAL
NCT04113967,Efficacy of a Biodanza Program in People With Alzheimer's Disease.,https://clinicaltrials.gov/study/NCT04113967,COMPLETED,Alzheimer Dementia (AD)|Mental Disorder|Mood Disorders|Physically Disabled,OTHER: Biodanza program,Universidad de Almeria,,,INTERVENTIONAL
NCT00065767,Cognitive and Neurophysiological Effects of Raloxifene in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT00065767,COMPLETED,Alzheimer Disease,DRUG: Raloxifene,"University of Wisconsin, Madison",National Institute on Aging (NIA),PHASE2|PHASE3,INTERVENTIONAL
NCT00059410,Alzheimer's Disease Treatment and Illness Perceptions Survey (TIPS) II,https://clinicaltrials.gov/study/NCT00059410,COMPLETED,Alzheimer Disease,,Alzheimer's Association,,,OBSERVATIONAL
NCT03777722,Light and the Effect on Metabolic Syndrome and Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03777722,COMPLETED,"Alzheimer Disease|Diabetes Mellitus, Type 2",DEVICE: Tailored Lighting Intervention,Icahn School of Medicine at Mount Sinai,Rutgers University,,INTERVENTIONAL
NCT04994483,Simufilam 100 mg for Mild-to-Moderate Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04994483,COMPLETED,Alzheimer Disease,DRUG: Simufilam|DRUG: Placebo,"Cassava Sciences, Inc.",Premier Research Group plc,PHASE3,INTERVENTIONAL
NCT03727360,Exercise for Brain Health in the Fight Against Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03727360,COMPLETED,Healthy Cognition,OTHER: Exercise Training|OTHER: Flexibility Control,"University of Maryland, College Park","National Institute on Aging (NIA)|Johns Hopkins University|Marquette University|University of Maryland, Baltimore",,INTERVENTIONAL
NCT05733520,I-CARE 2: Mobile Telehealth to Reduce Alzheimer'S-related Symptoms,https://clinicaltrials.gov/study/NCT05733520,RECRUITING,Caregiver Burden|Alzheimer Disease,BEHAVIORAL: Brain CareNotes|BEHAVIORAL: Dementia Guide Expert,Indiana University,"National Institute on Aging (NIA)|Regenstrief Institute, Inc.",,INTERVENTIONAL
NCT03709238,Pain Processing and Pain Reporting in Patients With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03709238,COMPLETED,Pain,BEHAVIORAL: Thermal stimulation,University of Aarhus,,,OBSERVATIONAL
NCT00505167,Memantine Versus Donepezil in Early Stages of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT00505167,COMPLETED,"Dementia, Alzheimer Type",DRUG: Memantine|DRUG: Donepezil,Hospital Miguel Servet,Clinica Quiron de Zaragoza|Universidad de Zaragoza|Hospital de Barbastro|Hospital Royo Villanova,PHASE4,INTERVENTIONAL
NCT00062569,Bathing Persons With Alzheimer's Disease aT Home (The BATH Study),https://clinicaltrials.gov/study/NCT00062569,COMPLETED,Alzheimer Disease,BEHAVIORAL: Bathing Support Intervention (BSI)|BEHAVIORAL: Caregiver reminiscence with coaching,National Institute of Nursing Research (NINR),,,INTERVENTIONAL
NCT03554226,Agitation and Aggressivity in Alzheimer's Disease Patients: A Cohort Study,https://clinicaltrials.gov/study/NCT03554226,COMPLETED,Alzheimer Disease,BEHAVIORAL: NeuroPsychiatric Inventory Clinician (NPI-C),"University Hospital, Toulouse",Ethypharm,,INTERVENTIONAL
NCT05153161,Memesto Wearable Device for Persons With Dementia,https://clinicaltrials.gov/study/NCT05153161,COMPLETED,Alzheimer Disease,DEVICE: Memesto,"Edgewater Safety Systems, Inc.",Rush University Medical Center,PHASE1,INTERVENTIONAL
NCT03342326,Lexical Priming by Music in Alzheimer's Disease and Healthy Aging,https://clinicaltrials.gov/study/NCT03342326,TERMINATED,Alzheimer Disease,OTHER: Exposure to familiar songs|OTHER: Music Experience Questionnaire|OTHER: Implicit tasks memory|OTHER: Questionnaires,Centre Hospitalier Universitaire de Saint Etienne,,,INTERVENTIONAL
NCT00000171,Study of Melatonin: Sleep Problems in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT00000171,COMPLETED,Alzheimer Disease|Dyssomnias,DRUG: Melatonin,National Institute on Aging (NIA),,PHASE3,INTERVENTIONAL
NCT00209456,Dopamine Transporter Scintigraphy Imaging (DAT-Imaging) in Patients With Lewy Body Dementia,https://clinicaltrials.gov/study/NCT00209456,COMPLETED,Lewy Body Dementia|Non-DLB Dementia|Alzheimer's|Vascular Dementia,DRUG: DatSCAN,GE Healthcare,,PHASE3,INTERVENTIONAL
NCT06965816,Using Neuroimaging to Early Diagnose Alzheimer's Disease Through Hippocampal Atrophy Assessment,https://clinicaltrials.gov/study/NCT06965816,COMPLETED,Alzheimer&#39;s Disease|Hippocampus|Brain Atrophy|Magnetic Resonance Imaging|Leukoaraiosis|Neurodegenerative Diseases|Cortical and Subcortical Atrophy,,Centre Hospitalier de Saint-Denis,,,OBSERVATIONAL
NCT04491006,A Study of ATH-1017 in Mild to Moderate Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04491006,COMPLETED,Alzheimer Disease|Dementia of Alzheimer Type,DRUG: ATH-1017|DRUG: Placebo,Athira Pharma,National Institute on Aging (NIA),PHASE2,INTERVENTIONAL
NCT03455569,A Dyadic Sleep Intervention for Alzheimer's Disease Patients and Their Caregivers,https://clinicaltrials.gov/study/NCT03455569,COMPLETED,Sleep|Alzheimer Disease,BEHAVIORAL: Behavioral sleep education|BEHAVIORAL: Education only,"University of California, Los Angeles",,,INTERVENTIONAL
NCT00380302,Activity of AVE1625 in Mild to Moderate Alzheimer's Patients.,https://clinicaltrials.gov/study/NCT00380302,COMPLETED,Alzheimer Disease,DRUG: AVE1625,Sanofi,,PHASE1|PHASE2,INTERVENTIONAL
NCT03119259,Technology Intervention to Support Caregiving for Alzheimer's Disease (I-CARE),https://clinicaltrials.gov/study/NCT03119259,COMPLETED,"Dementia, Alzheimer Type",BEHAVIORAL: ABC Clinical Program|BEHAVIORAL: BCN,Indiana University,National Institute on Aging (NIA),,INTERVENTIONAL
NCT03149380,Effectiveness of Alzheimer's Universe (Www.AlzU.Org) on Knowledge and Behavior,https://clinicaltrials.gov/study/NCT03149380,WITHDRAWN,"Alzheimer Disease|Alzheimer Disease, Late Onset|Memory Loss|Patient Education as Topic",BEHAVIORAL: Web-based education,Weill Medical College of Cornell University,,,INTERVENTIONAL
NCT02414347,F 18 T807 Tau PET Imaging of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02414347,RECRUITING,Alzheimer Disease,DRUG: F 18 T807,"Tammie L. S. Benzinger, MD, PhD",,,OBSERVATIONAL
NCT03022968,Tau Brain Imaging in Typical and Atypical Alzheimer's Disease (AD),https://clinicaltrials.gov/study/NCT03022968,COMPLETED,Alzheimer Disease|Benson's Disease,DRUG: [18F]T807 PET,"University Hospital, Tours",,PHASE2,INTERVENTIONAL
NCT03757325,Study to Evaluate DNL747 in Subjects With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03757325,COMPLETED,Alzheimer Disease,DRUG: DNL747|DRUG: Placebo,Denali Therapeutics Inc.,,PHASE1,INTERVENTIONAL
NCT02984540,Effect of a Modified Ketogenic-Mediterranean Diet on Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02984540,COMPLETED,Mild Cognitive Impairment|Insulin Resistance,OTHER: Low-Carbohydrate Diet|OTHER: Low-Fat Diet,Wake Forest University Health Sciences,,,INTERVENTIONAL
NCT03250741,Effects of Dopaminergic Therapy in Patients With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03250741,COMPLETED,Alzheimer Disease,DRUG: Rotigotine transdermal patch|OTHER: Placebo,I.R.C.C.S. Fondazione Santa Lucia,,PHASE2,INTERVENTIONAL
NCT06147999,Impact of a Biophoton Therapy on Patients With Brain Disorders,https://clinicaltrials.gov/study/NCT06147999,RECRUITING,"Brain Disorders - Alzheimer's Disease, Dementia, Parkinson's Disease, Traumatic Brain Injury",DEVICE: Biophotonizer - a Biophoton Generator,First Institute of All Medicines,,,INTERVENTIONAL
NCT03115814,Deep Brain Stimulation for Treatment of Severe Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03115814,UNKNOWN,Alzheimer Disease,,Chinese PLA General Hospital,,,OBSERVATIONAL
NCT00000172,Evaluation of Galantamine in the Treatment of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT00000172,COMPLETED,Alzheimer Disease,DRUG: Galantamine,"Janssen, LP",,PHASE3,INTERVENTIONAL
NCT02811653,Motor Slowing and Its Lesion-related Correlates in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02811653,UNKNOWN,Alzheimer Disease,DEVICE: Brain MRI|OTHER: neuropsychological evaluation|BIOLOGICAL: Blood,"Centre Hospitalier Universitaire, Amiens",,,INTERVENTIONAL
NCT02946710,"P75NTR, Diagnostic Biomarker for Alzheimer's Disease: Quantification Study in Cerebrospinal Fluid",https://clinicaltrials.gov/study/NCT02946710,COMPLETED,Alzheimer Disease,BIOLOGICAL: cerebrospinal fluid,"University Hospital, Toulouse",,,OBSERVATIONAL
NCT06022068,Evaluating Rapamycin Treatment in Alzheimer's Disease Using Positron Emission Tomography,https://clinicaltrials.gov/study/NCT06022068,ENROLLING_BY_INVITATION,Alzheimer Disease,DRUG: Sirolimus,Karolinska Institutet,Karolinska University Hospital,PHASE1|PHASE2,INTERVENTIONAL
NCT06081569,Multimodal Deep Learning for the Diagnosis and Assessment of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06081569,NOT_YET_RECRUITING,Alzheimer Disease|Mild Cognitive Impairment,DIAGNOSTIC_TEST: gait video; speech video; facial expression video;,First Hospital of China Medical University,,,OBSERVATIONAL
NCT03448601,Alzheimer's Disease and Precision Medicine Research Among Native People,https://clinicaltrials.gov/study/NCT03448601,COMPLETED,Alzheimer Disease,OTHER: Culturally tailored brochure intervention group|OTHER: Culturally tailored video intervention group,"University of Colorado, Denver","Washington State University|Missouri Breaks Industries Research, Inc.",,INTERVENTIONAL
NCT01837641,A Study of LY3002813 in Participants With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01837641,COMPLETED,Alzheimer Disease,BIOLOGICAL: LY3002813-IV|BIOLOGICAL: LY3002813-SC|DRUG: Placebo-IV,Eli Lilly and Company,,PHASE1,INTERVENTIONAL
NCT04249869,The Efficacy of Traditional Chinese Herbal Medicine for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04249869,UNKNOWN,Alzheimer Disease,DRUG: VGH-AD1,"Taipei Veterans General Hospital, Taiwan",,PHASE1|PHASE2,INTERVENTIONAL
NCT05077579,"Alzheimer""s Imaging Biomarkers in Obesity",https://clinicaltrials.gov/study/NCT05077579,RECRUITING,Alzheimer Disease|Obesity|Metabolic Disease,,Cyrus A Raji,,,OBSERVATIONAL
NCT04837937,Negotiation Training for Caregiver Communication in AD,https://clinicaltrials.gov/study/NCT04837937,ACTIVE_NOT_RECRUITING,Alzheimer Disease|Cognitive Impairment,BEHAVIORAL: Caregiver vs. Patient [Beginner]|BEHAVIORAL: Caregiver vs. Caregiver|BEHAVIORAL: Caregiver vs. Physician|BEHAVIORAL: Caregiver vs. Patient [Advanced],Northwestern University,National Institute on Aging (NIA),,INTERVENTIONAL
NCT06246019,The Clinical Impact of the Novel Alzheimer's Blood-based Biomarkers,https://clinicaltrials.gov/study/NCT06246019,ENROLLING_BY_INVITATION,Alzheimer Disease|Cognitive Impairment|Dementia|Neurodegenerative Diseases|Frontotemporal Dementia|Lewy Body Disease|Vascular Dementia,DIAGNOSTIC_TEST: Early adoption of blood-based biomarkers for Alzheimer's disease,Hospital del Mar Research Institute (IMIM),,,OBSERVATIONAL
NCT06936124,Deep Brain Stimulation of the Pedunculopontine Nucleus for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06936124,RECRUITING,Alzheimer Disease,PROCEDURE: Deep Brain Stimulation of the Pedunculopontine Nucleus,"University Health Network, Toronto",Alzheimer Society of Canada|Brain Canada,,INTERVENTIONAL
NCT00105547,Efficacy Study of MPC-7869 to Treat Patients With Alzheimer's,https://clinicaltrials.gov/study/NCT00105547,COMPLETED,Alzheimer Disease|Dementia,DRUG: MPC-7869|DRUG: MPC-7869,Myrexis Inc.,,PHASE3,INTERVENTIONAL
NCT05604183,Hyperspectral Retinal Observations for the Cross-sectional Detection of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05604183,UNKNOWN,"Alzheimer Disease, Early Onset|Cognitive Impairment|Cognitive Decline",PROCEDURE: non-invasive hyperspectral retinoscopy|PROCEDURE: blood sample|DIAGNOSTIC_TEST: Test of cognitive ability on tablet computer with CoGNIT software,Mantis Photonics AB,Blekinge Institute of Technology|Blekinge County Council Hospital,,INTERVENTIONAL
NCT05573490,Lifestyle Interventions for the Treatment of Early Onset Alzheimer's Disease Study,https://clinicaltrials.gov/study/NCT05573490,RECRUITING,"Alzheimer Disease, Early Onset",DEVICE: Cognitive Training|BEHAVIORAL: Tai Chi- Qi Gong|DEVICE: Brain Games|BEHAVIORAL: Stretching,Indiana University,Alzheimer's Association|Tai Chi Foundation|Alzheimer's Therapeutic Research Institute|National Institute on Aging (NIA),,INTERVENTIONAL
NCT06622135,Home Test for Measuring Plasma P-tau217 in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06622135,TERMINATED,Alzheimer Disease|Healthy Subjects,DEVICE: Tasso Lancet Device,Insight Research Institute,,,INTERVENTIONAL
NCT03283059,Octohydroaminoacridine Succinate Tablet for Mild-to-Moderate Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03283059,UNKNOWN,Alzheimer Disease,DRUG: Octohydroaminoacridine Succinate|DRUG: Aricept|DRUG: Placebos,Shanghai Mental Health Center,"Changchun Huayang High-tech Co., Ltd|Jiangsu Sheneryang High-tech Co., Ltd",PHASE3,INTERVENTIONAL
NCT04559789,Reducing Dementia Risk With Digital Health Coaching,https://clinicaltrials.gov/study/NCT04559789,UNKNOWN,Alzheimer Disease|Dementia|Mild Cognitive Impairment|Cognitive Decline,BEHAVIORAL: MindMate + Health Coaching|OTHER: Health Education,"Neurotrack Technologies, Inc.",National Institute on Aging (NIA)|University of Arkansas,,INTERVENTIONAL
NCT06611878,Memory for Music: Individual Intensive Musical Training in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06611878,RECRUITING,Alzheimer Disease,BEHAVIORAL: Music training - intensive|BEHAVIORAL: Music training - minimal|OTHER: Treatment as Usual (TAU),NORCE Norwegian Research Centre AS,"Universidad de Ciencias Empresariales y Sociales, Buenos Aires, Argentina|University of Vienna|University of Bergen|Universidad Nacional de Entre Rios|Kinn Municipality, Norway|Oslo Municipality|Norwegian Association for Music Therapy|Oslo Dementia Association",,INTERVENTIONAL
NCT02702817,Randomized Trial of Low-dose Naproxen in Cognitively Intact Persons at Risk of Alzheimer's Dementia,https://clinicaltrials.gov/study/NCT02702817,COMPLETED,Alzheimer Disease|Cognitive Decline Due to Alzheimer Disease|Mild Cognitive Impairment Due to Alzheimer Disease,DRUG: Naproxen|DRUG: Placebo,Douglas Mental Health University Institute,McGill University|Johns Hopkins University,PHASE2,INTERVENTIONAL
NCT06538116,A Study of Mevidalen (LY3154207) in Participants With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06538116,RECRUITING,Alzheimer Disease,DRUG: Mevidalen|DRUG: Placebo,Eli Lilly and Company,,PHASE2,INTERVENTIONAL
NCT05256121,HAPPCAP-AD (Human-APPlication Combined Approach for Prevention of Alzheimer's Disease),https://clinicaltrials.gov/study/NCT05256121,UNKNOWN,Alzheimer Disease,OTHER: AD Risk factors balance,Sheba Medical Center,"Maccabi Healthcare Services, Israel",,INTERVENTIONAL
NCT04387357,Multimodal Imaging in the Study of Disorientation in the Hospital,https://clinicaltrials.gov/study/NCT04387357,UNKNOWN,Mild Cognitive Impairment|Dementia|Disorientation|Older Adults|Magnetic Resonance Imaging,,University Medical Center Rostock,German Center for Neurodegenerative Diseases (DZNE),,OBSERVATIONAL
NCT02978768,Tai Chi 6-Form Sports Apparatus With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02978768,COMPLETED,Alzheimer Disease,OTHER: Exercise|DEVICE: Computer-based cognitive training|DEVICE: Physico-Mental rehabilitation Wii,Chang Gung Memorial Hospital,,,INTERVENTIONAL
